Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CAP-1U-10%-25V-X5R-0402_001","C_0402_1005Metric",24.168100,26.581100,180.000000,top
"C2","CAP-47U-20%-6.3V-X5R-0805_001","C_0805_2012Metric",12.255500,7.556500,0.000000,top
"C3","CAP-1U-10%-25V-X5R-0402_001","C_0402_1005Metric",22.961600,21.628100,180.000000,top
"C4","CAP-47U-20%-6.3V-X5R-0805_001","C_0805_2012Metric",10.604500,20.637500,0.000000,top
"C5","CAP-1U-10%-25V-X5R-0402_001","C_0402_1005Metric",22.961600,19.596100,180.000000,top
"C6","CAP-47U-20%-6.3V-X5R-0805_001","C_0805_2012Metric",10.604500,18.605500,0.000000,top
"C7","CAP-47U-20%-6.3V-X5R-0805_001","C_0805_2012Metric",10.604500,40.005000,0.000000,top
"C8","CAP-47U-20%-6.3V-X5R-0805_001","C_0805_2012Metric",6.794500,45.593000,0.000000,top
"C9","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",34.518600,16.865600,0.000000,top
"C10","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",34.010600,27.279600,180.000000,top
"C11","CAP-2.2U-10%-10V-X5R-0402_002","C_0402_1005Metric",34.518600,17.881600,0.000000,top
"C12","CAP-10U-20%-25V-X5R-0603_002","C_0603_1608Metric",33.502600,28.613100,180.000000,top
"C13","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",26.987500,46.101000,0.000000,top
"C14","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",38.519100,17.627600,0.000000,top
"C15","CAP-2.2N-5%-50V-X7R-0402_001","C_0402_1005Metric",36.995100,14.579600,270.000000,top
"C16","CAP-10U-20%-25V-X5R-0603_002","C_0603_1608Metric",38.963600,16.294100,0.000000,top
"C17","CAP-2.2N-5%-50V-X7R-0402_001","C_0402_1005Metric",33.947100,14.579600,270.000000,top
"C18","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",32.169100,25.565100,90.000000,top
"C19","CAP-10U-20%-25V-X5R-0603_002","C_0603_1608Metric",30.835600,26.009600,90.000000,top
"C20","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",32.169100,19.342100,270.000000,top
"C21","CAP-10U-20%-25V-X5R-0603_002","C_0603_1608Metric",30.835600,18.897600,270.000000,top
"D1","LED-ORANGE-0603_002","LED_0603_1608Metric",28.956000,31.242000,180.000000,top
"FID1","FIDUCIAL","Fiducial_0.5mm_Mask1mm",56.261000,2.667000,0.000000,top
"FID2","FIDUCIAL","Fiducial_0.5mm_Mask1mm",16.510000,8.890000,0.000000,top
"FID3","FIDUCIAL","Fiducial_0.5mm_Mask1mm",24.511000,29.210000,0.000000,top
"FID4","FIDUCIAL","Fiducial_0.5mm_Mask1mm",46.863000,23.368000,0.000000,top
"FID5","FIDUCIAL","Fiducial_0.5mm_Mask1mm",60.261500,49.593500,0.000000,top
"FID6","FIDUCIAL","Fiducial_0.5mm_Mask1mm",3.810000,46.990000,0.000000,top
"G***","LOGO","WASP_Logo",59.880500,26.225500,45.000000,top
"J1","USB-MICRO-B_001","AMPHENOL_10118194-0001LF",12.636500,1.460500,0.000000,top
"L1","FERR-BEAD-80OHM@100MHZ-0.8A-0.2OHM-0603","L_0603_1608Metric",24.739600,20.612100,270.000000,top
"Q1","DMMT5401","SOT-23-6",10.668000,42.862500,180.000000,top
"Q2","DMG2305UX","SOT-23",6.731000,42.799000,270.000000,top
"R1","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",13.144500,44.767500,90.000000,top
"R2","RES-47K-1%-0.063W-0402_001","R_0402_1005Metric",11.557000,45.275500,0.000000,top
"R3","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",36.360100,30.391100,90.000000,top
"R4","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",38.392100,30.391100,90.000000,top
"R5","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",37.376100,30.391100,90.000000,top
"R6","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",35.344100,30.391100,90.000000,top
"R7","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",54.013100,33.528000,180.000000,top
"R8","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",54.013100,34.671000,180.000000,top
"R9","RES-10-1%-0.063W-0402_001","R_0402_1005Metric",54.013100,32.385000,180.000000,top
"R10","RES-10K-1%-0.063W-0402_001","R_0402_1005Metric",34.328100,30.391100,90.000000,top
"R11","RES-1K-1%-0.063W-0402_001","R_0402_1005Metric",29.083000,29.845000,0.000000,top
"R12","RES-470-1%-0.063W-0402_001","R_0402_1005Metric",35.979100,14.579600,90.000000,top
"R13","RES-470-1%-0.063W-0402_001","R_0402_1005Metric",34.963100,14.579600,90.000000,top
"R14","RES-3.9K-1%-0.063W-0402_001","R_0402_1005Metric",31.089600,45.186600,180.000000,top
"R15","RES-3.9K-1%-0.063W-0402_001","R_0402_1005Metric",31.089600,46.278800,180.000000,top
"R16","RES-1K-1%-0.063W-0402_001","R_0402_1005Metric",26.987500,45.021500,0.000000,top
"U1","MIC5504-3.3YM5","SOT-23-5",23.660100,24.104600,270.000000,top
"U2","PCM5102A","TSSOP-20_4.4x6.5mm_P0.65mm",36.296600,22.453600,90.000000,top
"U3","24C32-SOP8_001","SOP-8_3.9x4.9mm_P1.27mm",28.765500,40.703500,90.000000,top
